Coordinates,Area
"49.23843208561654, -123.12580913081992",4.73593047747582
"49.23374566990904, -123.16348594568844",1.49434753324888
"49.27046708503926, -123.0507625334799",3.04979991045323
"49.25539840032883, -123.0512645230009",4.44201460845122
"49.21024780335246, -123.11951375283157",0.513125315644564
"49.28546882304755, -123.14218138881026",0.548365412155204
"49.27621201651504, -123.02570317607942",4.18034978379804
"49.26952236507575, -123.13489269612614",0.264305217455856
"49.27700855494706, -123.11896923812154",0.139191955619241
"49.27959372479923, -123.10343179550165",0.813574951450618
"49.25493181253211, -123.08075847140283",1.13307155216794
"49.26543547423968, -123.12891427364485",0.067336232550298
"49.264842885178695, -123.12205060960227",0.0714000475007253
"49.27181206984341, -123.21438558564188",0.396767665005199
"49.26636131638954, -123.20431179678592",3.74968855289282
"49.284330029175095, -123.09966169446255",0.0374575997909643
"49.25237676727856, -123.17645471480918",0.768324970009133
"49.25097540413386, -123.1624811771814",4.86080114853697
"49.21726674556697, -123.08235633886575",1.51183460790387
"49.258160306611416, -123.09202495595909",1.56399247562851
"49.24229347353439, -123.1042653510012",2.70374467009868
"49.282640071926195, -123.09434722312359",0.979110919896282
"49.2277292520923, -123.05753198459725",2.9177726955529
"49.20551239005133, -123.13836711513864",0.269432228104611
"49.23598345898842, -123.06703783753822",1.42644043734557
"49.2640014751542, -123.09593728259703",1.04386703720056
"49.22340319803405, -123.0704575108062",6.89397770904188
"49.23612962291615, -123.03111889768618",1.50603755345682
"49.285546252632024, -123.06204563660081",0.2485233187523
"49.247492113310514, -123.07474873943073",2.47407815772448
"49.26383305777943, -123.08895640927422",0.546686346441697
"49.27400057825126, -123.09922137162312",1.63924104732479
"49.23024836153691, -123.1922393668053",23.746879997979
"49.20556313321264, -123.04889651261576",4.20510510068736
"49.2715283042007, -123.14602862328918",0.792039950337337
"49.27264912711199, -123.2060459604727",4.32026908204686
"49.24402454055487, -123.1567534254394",2.89202085957249
"49.28253976755154, -123.05817844628112",1.6669769574966
"49.2475621485337, -123.04401989145983",6.05874654674536
"49.288095535661355, -123.03437215025144",1.66227389497938
"49.27138589974858, -123.03120064535138",11.8277625682218
"49.28954611707401, -123.05946587116794",0.15941836999764
"49.22011023771559, -123.02902647126156",3.61868118482825
"49.238439513438855, -123.07535586624105",5.76369199231227
"49.20650696218356, -123.1291666600433",0.900147022990927
"49.20219934206411, -123.12490723282059",0.562089252341593
"49.223726933969985, -123.16018804653422",4.204906758789
"49.218282159833194, -123.1852783659304",0.637889872604174
"49.25565889722085, -123.13512625743954",1.44996469619845
"49.265922000636145, -123.1522361010129",0.221626264600752
"49.24762617073041, -123.16839516049971",0.0939726481007266
"49.247616643447344, -123.16991724163367",0.0278941099991238
"49.24440702489111, -123.16509235112471",0.136388763151915
"49.272256590820156, -123.12450042107261",3.54907348360547
"49.27499554225812, -123.11971192580297",0.173960947650223
"49.27324754056611, -123.11424301523982",1.85035727991756
"49.24501831172257, -123.13359436584602",1.52738306235884
"49.24471462857966, -123.1083531373287",7.52775182160045
"49.23152083317967, -123.11203567144788",2.7869190138483
"49.27520910144171, -123.13205470009028",0.251047183350787
"49.282493963616034, -123.11369260718499",0.267489856992021
"49.28081152161802, -123.13855925207392",0.0602606376957713
"49.26303583313147, -123.07292643518495",0.298329953955506
"49.21918201343499, -123.03802596851291",0.228890080100192
"49.287273084108925, -123.13225321501888",0.63255076039675
"49.27385047489811, -123.10296854843675",2.54091408715624
"49.226946797413106, -123.16422693338055",0.251042924201287
"49.27331178319244, -123.12172861451869",0.909772195548736
"49.26643922740094, -123.14137059626812",0.134371409447614
"49.29142626775465, -123.05456018037312",0.134623071049017
"49.29122755368262, -123.04402065958692",0.0956773358296964
"49.29179097991502, -123.13806985439265",0.0800950798861754
"49.286434032676326, -123.1368312030331",0.0809134165487322
"49.28496594308869, -123.13671286465933",0.0800881698909632
"49.27049369499128, -123.10774369591951",0.0659626872004724
"49.278496146754684, -123.23070890059056",7.9936236572
"49.249609006540524, -123.15597457038474",1.41251714423845
"49.28996391342233, -123.12113541927735",3.20004685826282
"49.27530424424894, -123.08524423503535",10.0935812276699
"49.20549263348828, -123.03983995849894",0.119540698
"49.20642074755844, -123.02619086271137",0.295188037
"49.205719251853985, -123.037046360125",0.14220669
"49.254106563843926, -123.07402495055352",
"49.27122553657843, -123.10633524720586",
